preprocessing,accuracy,macro_f1,weighted_f1,neutral_f1,positive_f1,negative_f1,epochs
No_processing,0.7376623376623377,0.6869864314655331,0.7428980792009529,0.6909090909090909,0.8122270742358079,0.5578231292517006,3.9896103896103896
No_processing_emoji,0.6935064935064935,0.6727307026331099,0.6982321798576098,0.6488888888888888,0.7601078167115903,0.6091954022988506,3.9896103896103896
No_processing_spelling,0.7402597402597403,0.6916038321380946,0.7408235810425955,0.6341463414634146,0.8148148148148148,0.6258503401360545,3.9896103896103896
No_processing_spelling_lem,0.6805194805194805,0.6538813302913516,0.6774918719579404,0.6268656716417911,0.7444168734491315,0.5903614457831325,3.9896103896103896
No_processing_spelling_lem_SP,0.6449086161879896,0.6046667506868428,0.6458898982986357,0.5732484076433121,0.7238979118329466,0.5168539325842697,4.0
Basic_processing,0.7075718015665796,0.6595349813406016,0.7072699948973358,0.6296296296296297,0.7831858407079646,0.5657894736842105,4.0
Basic_processing_emoji,0.7101827676240209,0.6614624661059322,0.7124619178145106,0.6086956521739131,0.7850877192982456,0.5906040268456376,4.0
Basic_processing_spelling,0.6318537859007833,0.6236046418340814,0.641517387766774,0.6506024096385542,0.6810810810810811,0.5391304347826087,4.0
Basic_processing_spelling_lem,0.7232375979112271,0.6691712038717483,0.7186969810408799,0.64,0.8017241379310345,0.5657894736842105,4.0
Basic_processing_spelling_lem_SP,0.6475195822454308,0.5962365755897562,0.6431497631053392,0.6086956521739131,0.7310344827586207,0.4489795918367347,4.0
